blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Longitude,Latitude
582A,BUANGKOK GREEN,2,2016,N,N,N,Y,N,Y,HG,0,0,0,0,0,0,0,0,0,0,0,0,0,582A BUANGKOK GREEN,103.88698739385,1.37926915596285
583,PASIR RIS ST 53,13,1994,Y,N,N,N,N,N,PRC,48,0,0,0,0,0,48,0,0,0,0,0,0,583 PASIR RIS ST 53,103.947106449203,1.37575777095165
583,WOODLANDS DR 16,12,1999,Y,N,N,N,N,N,WL,88,0,0,0,0,0,88,0,0,0,0,0,0,583 WOODLANDS DR 16,103.795316786283,1.43039588715816
584,ANG MO KIO AVE 3,12,1978,Y,N,N,Y,N,N,AMK,152,0,0,128,22,1,1,0,0,0,0,0,0,584 ANG MO KIO AVE 3,103.853497803014,1.37071307985916
584,PASIR RIS ST 53,13,1994,Y,N,N,N,N,N,PRC,41,0,0,0,0,0,41,0,0,0,0,0,0,584 PASIR RIS ST 53,103.947206088534,1.37496591616962
584,WOODLANDS DR 16,12,1999,Y,N,N,N,N,N,WL,90,0,0,0,44,46,0,0,0,0,0,0,0,584 WOODLANDS DR 16,103.794807794419,1.42955731375385
584A,PASIR RIS ST 53,1,1995,N,N,N,N,N,Y,PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,584A PASIR RIS ST 53,103.947517665995,1.37497796813428
585,ANG MO KIO AVE 3,12,1978,Y,N,N,N,N,N,AMK,150,0,0,124,22,3,1,0,0,0,0,0,0,585 ANG MO KIO AVE 3,103.852367040901,1.37059756050933
585,PASIR RIS ST 53,11,1994,Y,N,N,Y,N,N,PRC,45,0,0,0,0,0,45,0,0,0,0,0,0,585 PASIR RIS ST 53,103.947376563493,1.37535084700775
585,WOODLANDS DR 16,12,1999,Y,N,N,Y,N,N,WL,134,0,0,0,0,90,44,0,0,0,0,0,0,585 WOODLANDS DR 16,103.79540833238,1.42920597374185
586,ANG MO KIO AVE 3,12,1978,Y,Y,N,Y,N,N,AMK,154,0,0,132,22,0,0,0,0,0,0,0,0,586 ANG MO KIO AVE 3,103.853455898206,1.37030352965928
586,PASIR RIS ST 53,13,1994,Y,N,N,N,N,N,PRC,48,0,0,0,0,0,48,0,0,0,0,0,0,586 PASIR RIS ST 53,103.947900662491,1.37526435848447
586,WOODLANDS DR 16,12,1999,Y,N,N,Y,N,N,WL,132,0,0,0,0,88,44,0,0,0,0,0,0,586 WOODLANDS DR 16,103.794717960696,1.42861439008497
